index_type,rows_before,batch_size,runs,affected_rows_min,affected_rows_max,trigger_rows_min,trigger_rows_max,avg_elapsed_ms,min_elapsed_ms,max_elapsed_ms,stddev_elapsed_ms
expression_index,10000,1000,5,1000,1000,1000,1000,17.021,15.333,21.172,2.399
function_index,10000,1000,5,1000,1000,1000,1000,30.561,23.202,51.546,11.864
lookup_only,10000,1000,5,1000,1000,1000,1000,21.436,15.241,29.381,5.076
simple_btree,10000,1000,5,1000,1000,1000,1000,21.697,14.609,30.448,7.184
unique_btree,10000,1000,5,1000,1000,1000,1000,13.786,13.162,15.302,0.883
expression_index,50000,1000,5,1000,1000,1000,1000,13.856,11.389,20.909,3.995
function_index,50000,1000,5,1000,1000,1000,1000,16.385,15.420,17.379,0.849
lookup_only,50000,1000,5,1000,1000,1000,1000,14.317,11.446,18.663,2.859
simple_btree,50000,1000,5,1000,1000,1000,1000,13.813,12.391,17.859,2.278
unique_btree,50000,1000,5,1000,1000,1000,1000,13.198,12.784,13.595,0.314
expression_index,100000,1000,5,1000,1000,1000,1000,15.087,12.122,24.248,5.136
function_index,100000,1000,5,1000,1000,1000,1000,16.526,14.643,18.458,1.384
lookup_only,100000,1000,5,1000,1000,1000,1000,10.834,10.026,11.595,0.598
simple_btree,100000,1000,5,1000,1000,1000,1000,16.013,12.272,23.328,4.775
unique_btree,100000,1000,5,1000,1000,1000,1000,17.171,11.962,20.424,3.567
expression_index,500000,1000,5,1000,1000,1000,1000,11.335,9.642,16.635,2.975
function_index,500000,1000,5,1000,1000,1000,1000,19.515,14.054,34.707,8.686
lookup_only,500000,1000,5,1000,1000,1000,1000,10.741,8.992,17.257,3.643
simple_btree,500000,1000,5,1000,1000,1000,1000,9.723,9.437,9.933,0.179
unique_btree,500000,1000,5,1000,1000,1000,1000,9.903,8.450,14.471,2.561
expression_index,1000000,1000,5,1000,1000,1000,1000,11.135,9.510,15.127,2.397
function_index,1000000,1000,5,1000,1000,1000,1000,14.102,12.893,16.770,1.576
lookup_only,1000000,1000,5,1000,1000,1000,1000,9.132,8.225,10.890,1.031
simple_btree,1000000,1000,5,1000,1000,1000,1000,13.936,11.163,18.567,3.593
unique_btree,1000000,1000,5,1000,1000,1000,1000,9.093,8.724,9.331,0.232
