index_type,rows_base,runs,batch_size_min,batch_size_max,affected_rows_min,affected_rows_max,trigger_rows_min,trigger_rows_max,avg_total_elapsed_ms,min_total_elapsed_ms,max_total_elapsed_ms,stddev_total_elapsed_ms,avg_elapsed_ms_per_row
expression_index,10000,5,1000,1000,1000,1000,1000,1000,14.017,12.858,16.945,1.663,0.014017
function_index,10000,5,1000,1000,1000,1000,1000,1000,17.252,14.324,20.794,2.872,0.017252
no_extra_index,10000,5,1000,1000,1000,1000,1000,1000,10.802,10.067,11.689,0.656,0.010802
simple_btree,10000,5,1000,1000,1000,1000,1000,1000,13.767,10.973,18.168,3.271,0.013767
unique_btree,10000,5,1000,1000,1000,1000,1000,1000,12.238,10.810,16.632,2.491,0.012238
expression_index,50000,5,1000,1000,1000,1000,1000,1000,16.963,14.993,20.863,2.454,0.016963
function_index,50000,5,1000,1000,1000,1000,1000,1000,17.709,16.646,18.471,0.716,0.017709
no_extra_index,50000,5,1000,1000,1000,1000,1000,1000,12.635,11.336,14.725,1.517,0.012635
simple_btree,50000,5,1000,1000,1000,1000,1000,1000,14.861,12.808,17.110,1.871,0.014861
unique_btree,50000,5,1000,1000,1000,1000,1000,1000,14.806,12.798,20.592,3.258,0.014806
expression_index,100000,5,1000,1000,1000,1000,1000,1000,16.394,15.091,18.809,1.416,0.016394
function_index,100000,5,1000,1000,1000,1000,1000,1000,22.606,18.697,25.763,2.547,0.022606
no_extra_index,100000,5,1000,1000,1000,1000,1000,1000,13.966,12.532,15.633,1.112,0.013966
simple_btree,100000,5,1000,1000,1000,1000,1000,1000,18.710,15.212,22.207,2.844,0.018710
unique_btree,100000,5,1000,1000,1000,1000,1000,1000,14.424,13.766,15.869,0.831,0.014424
expression_index,500000,5,1000,1000,1000,1000,1000,1000,17.943,17.134,19.494,0.976,0.017943
function_index,500000,5,1000,1000,1000,1000,1000,1000,24.092,21.840,25.339,1.361,0.024092
no_extra_index,500000,5,1000,1000,1000,1000,1000,1000,14.671,14.057,16.422,1.016,0.014671
simple_btree,500000,5,1000,1000,1000,1000,1000,1000,17.612,15.879,21.611,2.324,0.017612
unique_btree,500000,5,1000,1000,1000,1000,1000,1000,20.850,16.390,34.086,7.446,0.020850
expression_index,1000000,5,1000,1000,1000,1000,1000,1000,21.641,19.390,26.275,2.952,0.021641
function_index,1000000,5,1000,1000,1000,1000,1000,1000,29.248,24.148,39.687,6.205,0.029248
no_extra_index,1000000,5,1000,1000,1000,1000,1000,1000,20.581,15.756,31.882,6.954,0.020581
simple_btree,1000000,5,1000,1000,1000,1000,1000,1000,21.209,18.731,26.638,3.157,0.021209
unique_btree,1000000,5,1000,1000,1000,1000,1000,1000,21.045,17.019,28.239,5.229,0.021045
