index_type,rows_base,runs,batch_size_min,batch_size_max,inserted_rows_min,inserted_rows_max,avg_total_elapsed_ms,min_total_elapsed_ms,max_total_elapsed_ms,stddev_total_elapsed_ms,avg_elapsed_ms_per_row
expression_index,10000,6,1000,1000,1000,1000,9.231,5.711,17.595,4.600,0.009231
function_index,10000,6,1000,1000,1000,1000,5.716,5.412,6.085,0.301,0.005716
no_index,10000,6,1000,1000,1000,1000,2.832,2.506,3.542,0.453,0.002832
simple_btree,10000,6,1000,1000,1000,1000,3.691,3.169,5.134,0.719,0.003691
unique_btree,10000,6,1000,1000,1000,1000,4.803,3.019,12.269,3.669,0.004803
expression_index,50000,6,1000,1000,1000,1000,5.910,5.526,6.431,0.325,0.005910
function_index,50000,6,1000,1000,1000,1000,6.622,5.935,8.148,0.866,0.006622
no_index,50000,6,1000,1000,1000,1000,3.498,2.879,4.558,0.672,0.003498
simple_btree,50000,6,1000,1000,1000,1000,4.885,3.554,10.852,2.927,0.004885
unique_btree,50000,6,1000,1000,1000,1000,4.014,3.263,6.706,1.325,0.004014
expression_index,100000,6,1000,1000,1000,1000,5.888,5.256,8.221,1.153,0.005888
function_index,100000,6,1000,1000,1000,1000,12.162,6.825,18.673,5.144,0.012162
no_index,100000,6,1000,1000,1000,1000,3.133,2.441,4.509,0.976,0.003133
simple_btree,100000,6,1000,1000,1000,1000,4.124,3.951,4.295,0.151,0.004124
unique_btree,100000,6,1000,1000,1000,1000,5.070,3.225,10.065,2.698,0.005070
expression_index,500000,6,1000,1000,1000,1000,6.847,5.478,11.138,2.240,0.006847
function_index,500000,6,1000,1000,1000,1000,8.503,6.971,10.770,1.417,0.008503
no_index,500000,6,1000,1000,1000,1000,3.951,2.584,4.930,0.903,0.003951
simple_btree,500000,6,1000,1000,1000,1000,5.534,4.412,6.656,0.953,0.005534
unique_btree,500000,6,1000,1000,1000,1000,3.198,3.028,3.588,0.232,0.003198
expression_index,1000000,6,1000,1000,1000,1000,10.359,6.077,16.347,4.344,0.010359
function_index,1000000,6,1000,1000,1000,1000,9.800,7.624,14.010,2.343,0.009800
no_index,1000000,6,1000,1000,1000,1000,3.497,2.640,5.016,1.049,0.003497
simple_btree,1000000,6,1000,1000,1000,1000,5.148,4.264,6.651,0.846,0.005148
unique_btree,1000000,6,1000,1000,1000,1000,4.800,3.377,7.743,1.632,0.004800
