schema_name,relation_name,relation_kind,relation_bytes,indexes_bytes,total_bytes,relation_size,indexes_size,total_size
lab4,heavy_select_btree,r,5851430912,1123115008,6976192512,5580 MB,1071 MB,6653 MB
lab4,heavy_select_no_index,r,5851430912,0,5853077504,5580 MB,0 bytes,5582 MB
lab4,update_function_index,r,158474240,99590144,258138112,151 MB,95 MB,246 MB
lab4,insert_function_index,r,142073856,76791808,218939392,135 MB,73 MB,209 MB
lab4,update_unique_btree,r,158359552,45195264,203628544,151 MB,43 MB,194 MB
lab4,update_expression_index,r,158359552,34226176,192659456,151 MB,33 MB,184 MB
lab4,update_simple_btree,r,158359552,32251904,190685184,151 MB,31 MB,182 MB
lab4,update_no_extra_index,r,158474240,22618112,181166080,151 MB,22 MB,173 MB
lab4,insert_unique_btree,r,142073856,22618112,164765696,135 MB,22 MB,157 MB
lab4,insert_expression_index,r,142073856,11288576,153436160,135 MB,11 MB,146 MB
lab4,insert_simple_btree,r,142073856,9650176,151797760,135 MB,9424 kB,145 MB
lab4,user_log_storage,r,148946944,0,149020672,142 MB,0 bytes,142 MB
lab4,insert_no_index,r,142073856,0,142147584,135 MB,0 bytes,136 MB
lab4,select_btree_index,r,84459520,22487040,107003904,81 MB,21 MB,102 MB
lab4,orders_plain,r,93093888,0,93151232,89 MB,0 bytes,89 MB
lab4,select_no_index,r,84459520,0,84516864,81 MB,0 bytes,81 MB
lab4,orders_partitioned_2024_q3,r,23404544,0,23445504,22 MB,0 bytes,22 MB
lab4,orders_partitioned_2024_q4,r,23404544,0,23445504,22 MB,0 bytes,22 MB
lab4,orders_partitioned_2024_q1,r,23158784,0,23199744,22 MB,0 bytes,22 MB
lab4,orders_partitioned_2024_q2,r,23158784,0,23199744,22 MB,0 bytes,22 MB
lab4,extended_update_trigger_audit,r,13164544,3457024,16662528,13 MB,3376 kB,16 MB
lab4,update_trigger_audit,r,9723904,2859008,12623872,9496 kB,2792 kB,12 MB
lab4,extended_all_sizes_measurements,r,65536,32768,131072,64 kB,32 kB,128 kB
lab4,insert_measurements,r,24576,16384,73728,24 kB,16 kB,72 kB
lab4,update_measurements,r,24576,16384,73728,24 kB,16 kB,72 kB
lab4,extended_all_sizes_sizes,r,16384,16384,65536,16 kB,16 kB,64 kB
lab4,partition_measurements,r,16384,16384,65536,16 kB,16 kB,64 kB
lab4,heavy_select_measurements,r,8192,16384,32768,8192 bytes,16 kB,32 kB
lab4,select_measurements,r,8192,16384,32768,8192 bytes,16 kB,32 kB
lab4,storage_growth_measurements,r,8192,16384,32768,8192 bytes,16 kB,32 kB
lab4,orders_partitioned,p,0,0,0,0 bytes,0 bytes,0 bytes
