rows_base,runs,batch_size_min,batch_size_max,affected_rows_min,affected_rows_max,avg_total_elapsed_ms,min_total_elapsed_ms,max_total_elapsed_ms,stddev_total_elapsed_ms,avg_elapsed_ms_per_row
10,5,10,10,10,10,0.303800,0.095000,0.857000,0.326516,0.030380000
25,5,25,25,25,25,0.182000,0.085000,0.516000,0.187164,0.007280000
50,5,50,50,50,50,0.305400,0.216000,0.610000,0.170932,0.006108000
100,5,100,100,100,100,0.478800,0.357000,0.668000,0.122453,0.004788000
250,5,250,250,250,250,1.148600,0.878000,1.305000,0.164509,0.004594400
500,5,500,500,500,500,2.245000,1.675000,2.980000,0.517741,0.004490000
1000,5,1000,1000,1000,1000,4.231000,3.217000,5.420000,0.886621,0.004231000
2500,5,1000,1000,1000,1000,3.929400,2.843000,5.049000,0.889345,0.003929400
5000,5,1000,1000,1000,1000,3.963000,3.664000,4.335000,0.259097,0.003963000
10000,5,1000,1000,1000,1000,7.167800,4.617000,14.539000,4.147302,0.007167800
25000,5,1000,1000,1000,1000,6.174600,3.689000,11.151000,3.010983,0.006174600
50000,5,1000,1000,1000,1000,8.548600,7.155000,10.076000,1.048829,0.008548600
100000,5,1000,1000,1000,1000,15.424600,12.569000,18.916000,2.635082,0.015424600
250000,5,1000,1000,1000,1000,29.455800,17.278000,45.475000,12.364798,0.029455800
500000,5,1000,1000,1000,1000,49.410000,40.806000,69.446000,11.620388,0.049410000
