stage,query_name,run_number,planning_ms,execution_ms,measured_at
baseline,Q1,1,0.059,12.791,2026-05-04 05:11:59.029548
baseline,Q1,2,0.056,10.760,2026-05-04 05:11:59.041089
baseline,Q1,3,0.060,11.604,2026-05-04 05:11:59.052982
baseline,Q1,4,0.059,11.672,2026-05-04 05:11:59.064946
baseline,Q1,5,0.061,10.642,2026-05-04 05:11:59.075855
baseline,Q2,1,0.166,24.745,2026-05-04 05:11:59.129147
baseline,Q2,2,0.152,19.851,2026-05-04 05:11:59.149473
baseline,Q2,3,0.156,19.170,2026-05-04 05:11:59.169093
baseline,Q2,4,0.157,23.652,2026-05-04 05:11:59.193192
baseline,Q2,5,0.155,19.813,2026-05-04 05:11:59.213448
baseline,Q3,1,0.157,35.672,2026-05-04 05:11:59.287888
baseline,Q3,2,0.196,43.794,2026-05-04 05:11:59.332258
baseline,Q3,3,0.171,40.446,2026-05-04 05:11:59.373325
baseline,Q3,4,0.220,38.531,2026-05-04 05:11:59.412474
baseline,Q3,5,0.183,45.099,2026-05-04 05:11:59.458112
optimized,Q1,1,0.091,2.028,2026-05-04 05:12:01.482399
optimized,Q1,2,0.105,3.337,2026-05-04 05:12:01.486119
optimized,Q1,3,0.116,2.456,2026-05-04 05:12:01.488906
optimized,Q1,4,0.070,1.926,2026-05-04 05:12:01.491106
optimized,Q1,5,0.095,1.927,2026-05-04 05:12:01.493321
optimized,Q2,1,0.287,12.157,2026-05-04 05:12:01.527151
optimized,Q2,2,0.197,9.471,2026-05-04 05:12:01.537163
optimized,Q2,3,0.281,9.680,2026-05-04 05:12:01.547465
optimized,Q2,4,0.266,10.746,2026-05-04 05:12:01.558748
optimized,Q2,5,0.234,10.541,2026-05-04 05:12:01.569923
optimized,Q3,1,0.183,20.921,2026-05-04 05:12:01.62952
optimized,Q3,2,0.306,20.259,2026-05-04 05:12:01.650411
optimized,Q3,3,0.175,18.557,2026-05-04 05:12:01.669438
optimized,Q3,4,0.217,19.138,2026-05-04 05:12:01.689092
optimized,Q3,5,0.183,19.197,2026-05-04 05:12:01.708763
